"","Player","Date","Age","Team","Venue","Opponent","Result","Game_number","Day","Attempted_Rushes","Rushing_Yards","TD","Season"
"1","Leonard Fournette","08/10/2017",22.263,"Jaguars","@","Steelers","W 30-9",5,"Sun",28,181,2,"2017/18"
"2","Le'Veon Bell","15/10/2017",25.239,"Steelers","@","Chiefs","W 19-13",6,"Sun",32,179,1,"2017/18"
"3","Kareem Hunt","24/09/2017",22.049,"Chiefs","@","Chargers","W 24-10",3,"Sun",17,172,1,"2017/18"
"4","Jordan Howard","15/10/2017",22.347,"Bears","@","Ravens","W 27-24",6,"Sun",36,167,0,"2017/18"
"5","Bilal Powell","01/10/2017",28.339,"Jets","","Jaguars","W 23-20",4,"Sun",21,163,1,"2017/18"
